time,Latitud,Longitud,Tiempo_Medicion,Vel_Viento,Direccion_Viento,Direccion_Viento_Modelo
2026-05-09,9.125,-82.625,,,,
2026-05-09,9.125,-82.375,,,,
2026-05-09,9.125,-82.125,,,,
2026-05-09,9.375,-86.875,,,,
2026-05-09,9.375,-86.625,,,,
2026-05-09,9.375,-86.375,,,,
2026-05-09,9.375,-86.125,,,,
2026-05-09,9.375,-85.875,,,,
2026-05-09,9.375,-85.625,,,,
2026-05-09,9.375,-85.375,,,,
2026-05-09,9.375,-85.125,,,,
2026-05-09,9.375,-84.875,,,,
2026-05-09,9.375,-84.625,,,,
2026-05-09,9.375,-84.375,,,,
2026-05-09,9.375,-84.125,,,,
2026-05-09,9.375,-83.875,,,,
2026-05-09,9.375,-83.625,,,,
2026-05-09,9.375,-83.375,,,,
2026-05-09,9.375,-83.125,,,,
2026-05-09,9.375,-82.875,,,,
2026-05-09,9.375,-82.625,,,,
2026-05-09,9.375,-82.375,,,,
2026-05-09,9.375,-82.125,,,,
2026-05-09,9.625,-86.875,,,,
2026-05-09,9.625,-86.625,,,,
2026-05-09,9.625,-86.375,,,,
2026-05-09,9.625,-86.125,,,,
2026-05-09,9.625,-85.875,,,,
2026-05-09,9.625,-85.625,,,,
2026-05-09,9.625,-85.375,,,,
2026-05-09,9.625,-85.125,,,,
2026-05-09,9.625,-84.875,,,,
2026-05-09,9.625,-84.625,,,,
2026-05-09,9.625,-84.375,,,,
2026-05-09,9.625,-84.125,,,,
2026-05-09,9.625,-83.875,,,,
2026-05-09,9.625,-83.625,,,,
2026-05-09,9.625,-83.375,,,,
2026-05-09,9.625,-83.125,,,,
2026-05-09,9.625,-82.875,,,,
2026-05-09,9.625,-82.625,,,,
2026-05-09,9.625,-82.375,,,,
2026-05-09,9.625,-82.125,,,,
2026-05-09,9.875,-86.875,,,,
2026-05-09,9.875,-86.625,,,,
2026-05-09,9.875,-86.375,,,,
2026-05-09,9.875,-86.125,,,,
2026-05-09,9.875,-85.875,,,,
2026-05-09,9.875,-85.625,,,,
2026-05-09,9.875,-85.375,,,,
2026-05-09,9.875,-85.125,,,,
2026-05-09,9.875,-84.875,,,,
2026-05-09,9.875,-84.625,,,,
2026-05-09,9.875,-84.375,,,,
2026-05-09,9.875,-84.125,,,,
2026-05-09,9.875,-83.875,,,,
2026-05-09,9.875,-83.625,,,,
2026-05-09,9.875,-83.375,,,,
2026-05-09,9.875,-83.125,,,,
2026-05-09,9.875,-82.875,,,,
2026-05-09,9.875,-82.625,,,,
2026-05-09,9.875,-82.375,,,,
2026-05-09,9.875,-82.125,,,,
2026-05-09,10.125,-86.875,,,,
2026-05-09,10.125,-86.625,,,,
2026-05-09,10.125,-86.375,,,,
2026-05-09,10.125,-86.125,,,,
2026-05-09,10.125,-85.875,,,,
2026-05-09,10.125,-85.625,,,,
2026-05-09,10.125,-85.375,,,,
2026-05-09,10.125,-85.125,,,,
2026-05-09,10.125,-84.875,,,,
2026-05-09,10.125,-84.625,,,,
2026-05-09,10.125,-84.375,,,,
2026-05-09,10.125,-84.125,,,,
2026-05-09,10.125,-83.875,,,,
2026-05-09,10.125,-83.625,,,,
2026-05-09,10.125,-83.375,,,,
2026-05-09,10.125,-83.125,,,,
2026-05-09,10.125,-82.875,,,,
2026-05-09,10.125,-82.625,,,,
2026-05-09,10.125,-82.375,,,,
2026-05-09,10.125,-82.125,,,,
2026-05-09,10.375,-86.875,,,,
2026-05-09,10.375,-86.625,,,,
2026-05-09,10.375,-86.375,,,,
2026-05-09,10.375,-86.125,,,,
2026-05-09,10.375,-85.875,,,,
2026-05-09,10.375,-85.625,,,,
2026-05-09,10.375,-85.375,,,,
2026-05-09,10.375,-85.125,,,,
2026-05-09,10.375,-84.875,,,,
2026-05-09,10.375,-84.625,,,,
2026-05-09,10.375,-84.375,,,,
2026-05-09,10.375,-84.125,,,,
2026-05-09,10.375,-83.875,,,,
2026-05-09,10.375,-83.625,,,,
2026-05-09,10.375,-83.375,,,,
2026-05-09,10.375,-83.125,,,,
2026-05-09,10.375,-82.875,,,,
2026-05-09,10.375,-82.625,,,,
2026-05-09,10.375,-82.375,,,,
2026-05-09,10.375,-82.125,,,,
2026-05-09,10.625,-86.875,,,,
2026-05-09,10.625,-86.625,,,,
2026-05-09,10.625,-86.375,,,,
2026-05-09,10.625,-86.125,,,,
2026-05-09,10.625,-85.875,,,,
2026-05-09,10.625,-85.625,,,,
2026-05-09,10.625,-85.375,,,,
2026-05-09,10.625,-85.125,,,,
2026-05-09,10.625,-84.875,,,,
2026-05-09,10.625,-84.625,,,,
2026-05-09,10.625,-84.375,,,,
2026-05-09,10.625,-84.125,,,,
2026-05-09,10.625,-83.875,,,,
2026-05-09,10.625,-83.625,,,,
2026-05-09,10.625,-83.375,,,,
2026-05-09,10.625,-83.125,,,,
2026-05-09,10.625,-82.875,,,,
2026-05-09,10.625,-82.625,,,,
2026-05-09,10.625,-82.375,,,,
2026-05-09,10.625,-82.125,,,,
2026-05-09,10.875,-86.875,,,,
2026-05-09,10.875,-86.625,,,,
2026-05-09,10.875,-86.375,,,,
2026-05-09,10.875,-86.125,,,,
2026-05-09,10.875,-85.875,,,,
2026-05-09,10.875,-85.625,,,,
2026-05-09,10.875,-85.375,,,,
2026-05-09,10.875,-85.125,,,,
2026-05-09,10.875,-84.875,,,,
2026-05-09,10.875,-84.625,,,,
2026-05-09,10.875,-84.375,,,,
2026-05-09,10.875,-84.125,,,,
2026-05-09,10.875,-83.875,,,,
2026-05-09,10.875,-83.625,,,,
2026-05-09,10.875,-83.375,,,,
2026-05-09,10.875,-83.125,,,,
2026-05-09,10.875,-82.875,,,,
2026-05-09,10.875,-82.625,,,,
2026-05-09,10.875,-82.375,,,,
2026-05-09,10.875,-82.125,,,,
2026-05-09,11.125,-86.875,,,,
2026-05-09,11.125,-86.625,,,,
2026-05-09,11.125,-86.375,,,,
2026-05-09,11.125,-86.125,,,,
2026-05-09,11.125,-85.875,,,,
2026-05-09,11.125,-85.625,,,,
2026-05-09,11.125,-85.375,,,,
2026-05-09,11.125,-85.125,,,,
2026-05-09,11.125,-84.875,,,,
2026-05-09,11.125,-84.625,,,,
2026-05-09,11.125,-84.375,,,,
2026-05-09,11.125,-84.125,,,,
2026-05-09,11.125,-83.875,,,,
2026-05-09,11.125,-83.625,,,,
2026-05-09,11.125,-83.375,,,,
2026-05-09,11.125,-83.125,,,,
2026-05-09,11.125,-82.875,,,,
2026-05-09,11.125,-82.625,,,,
2026-05-09,11.125,-82.375,,,,
2026-05-09,11.125,-82.125,,,,
2026-05-10,7.625,-86.875,,,,
2026-05-10,7.625,-86.625,,,,
2026-05-10,7.625,-86.375,,,,
2026-05-10,7.625,-86.125,,,,
2026-05-10,7.625,-85.875,,,,
2026-05-10,7.625,-85.625,,,,
2026-05-10,7.625,-85.375,,,,
2026-05-10,7.625,-85.125,,,,
2026-05-10,7.625,-84.875,,,,
2026-05-10,7.625,-84.625,,,,
2026-05-10,7.625,-84.375,,,,
2026-05-10,7.625,-84.125,,,,
2026-05-10,7.625,-83.875,,,,
2026-05-10,7.625,-83.625,,,,
2026-05-10,7.625,-83.375,,,,
2026-05-10,7.625,-83.125,,,,
2026-05-10,7.625,-82.875,,,,
2026-05-10,7.625,-82.625,,,,
2026-05-10,7.625,-82.375,,,,
2026-05-10,7.625,-82.125,,,,
2026-05-10,7.875,-86.875,,,,
2026-05-10,7.875,-86.625,,,,
2026-05-10,7.875,-86.375,,,,
2026-05-10,7.875,-86.125,,,,
2026-05-10,7.875,-85.875,,,,
2026-05-10,7.875,-85.625,,,,
2026-05-10,7.875,-85.375,,,,
2026-05-10,7.875,-85.125,,,,
2026-05-10,7.875,-84.875,,,,
2026-05-10,7.875,-84.625,,,,
2026-05-10,7.875,-84.375,,,,
2026-05-10,7.875,-84.125,,,,
2026-05-10,7.875,-83.875,,,,
2026-05-10,7.875,-83.625,,,,
2026-05-10,7.875,-83.375,,,,
2026-05-10,7.875,-83.125,,,,
2026-05-10,7.875,-82.875,,,,
2026-05-10,7.875,-82.625,,,,
2026-05-10,7.875,-82.375,,,,
2026-05-10,7.875,-82.125,,,,
2026-05-10,8.125,-86.875,,,,
2026-05-10,8.125,-86.625,,,,
2026-05-10,8.125,-86.375,,,,
2026-05-10,8.125,-86.125,,,,
2026-05-10,8.125,-85.875,,,,
2026-05-10,8.125,-85.625,,,,
2026-05-10,8.125,-85.375,,,,
2026-05-10,8.125,-85.125,,,,
2026-05-10,8.125,-84.875,,,,
2026-05-10,8.125,-84.625,,,,
2026-05-10,8.125,-84.375,,,,
2026-05-10,8.125,-84.125,,,,
2026-05-10,8.125,-83.875,,,,
2026-05-10,8.125,-83.625,,,,
2026-05-10,8.125,-83.375,,,,
2026-05-10,8.125,-83.125,,,,
2026-05-10,8.125,-82.875,,,,
2026-05-10,8.125,-82.625,,,,
2026-05-10,8.125,-82.375,,,,
2026-05-10,8.125,-82.125,,,,
2026-05-10,8.375,-86.875,,,,
2026-05-10,8.375,-86.625,,,,
2026-05-10,8.375,-86.375,,,,
2026-05-10,8.375,-86.125,,,,
2026-05-10,8.375,-85.875,,,,
2026-05-10,8.375,-85.625,,,,
2026-05-10,8.375,-85.375,,,,
2026-05-10,8.375,-85.125,,,,
2026-05-10,8.375,-84.875,,,,
2026-05-10,8.375,-84.625,,,,
2026-05-10,8.375,-84.375,,,,
2026-05-10,8.375,-84.125,,,,
2026-05-10,8.375,-83.875,,,,
2026-05-10,8.375,-83.625,,,,
2026-05-10,8.375,-83.375,,,,
2026-05-10,8.375,-83.125,,,,
2026-05-10,8.375,-82.875,,,,
2026-05-10,8.375,-82.625,,,,
2026-05-10,8.375,-82.375,,,,
2026-05-10,8.375,-82.125,,,,
2026-05-10,8.625,-86.875,,,,
2026-05-10,8.625,-86.625,,,,
2026-05-10,8.625,-86.375,,,,
2026-05-10,8.625,-86.125,,,,
2026-05-10,8.625,-85.875,,,,
2026-05-10,8.625,-85.625,,,,
2026-05-10,8.625,-85.375,,,,
2026-05-10,8.625,-85.125,,,,
2026-05-10,8.625,-84.875,,,,
2026-05-10,8.625,-84.625,,,,
2026-05-10,8.625,-84.375,,,,
2026-05-10,8.625,-84.125,,,,
2026-05-10,8.625,-83.875,,,,
2026-05-10,8.625,-83.625,,,,
2026-05-10,8.625,-83.375,,,,
2026-05-10,8.625,-83.125,,,,
2026-05-10,8.625,-82.875,,,,
2026-05-10,8.625,-82.625,,,,
2026-05-10,8.625,-82.375,,,,
2026-05-10,8.625,-82.125,,,,
2026-05-10,8.875,-86.875,,,,
2026-05-10,8.875,-86.625,,,,
2026-05-10,8.875,-86.375,,,,
2026-05-10,8.875,-86.125,,,,
2026-05-10,8.875,-85.875,,,,
2026-05-10,8.875,-85.625,,,,
2026-05-10,8.875,-85.375,,,,
2026-05-10,8.875,-85.125,,,,
2026-05-10,8.875,-84.875,,,,
2026-05-10,8.875,-84.625,,,,
2026-05-10,8.875,-84.375,,,,
2026-05-10,8.875,-84.125,,,,
2026-05-10,8.875,-83.875,,,,
2026-05-10,8.875,-83.625,,,,
2026-05-10,8.875,-83.375,,,,
2026-05-10,8.875,-83.125,,,,
2026-05-10,8.875,-82.875,,,,
2026-05-10,8.875,-82.625,,,,
2026-05-10,8.875,-82.375,,,,
2026-05-10,8.875,-82.125,,,,
2026-05-10,9.125,-86.875,,,,
2026-05-10,9.125,-86.625,,,,
2026-05-10,9.125,-86.375,,,,
2026-05-10,9.125,-86.125,,,,
2026-05-10,9.125,-85.875,,,,
2026-05-10,9.125,-85.625,,,,
2026-05-10,9.125,-85.375,,,,
2026-05-10,9.125,-85.125,,,,
2026-05-10,9.125,-84.875,,,,
2026-05-10,9.125,-84.625,,,,
2026-05-10,9.125,-84.375,,,,
2026-05-10,9.125,-84.125,,,,
2026-05-10,9.125,-83.875,,,,
2026-05-10,9.125,-83.625,,,,
2026-05-10,9.125,-83.375,,,,
2026-05-10,9.125,-83.125,,,,
2026-05-10,9.125,-82.875,,,,
2026-05-10,9.125,-82.625,,,,
2026-05-10,9.125,-82.375,,,,
2026-05-10,9.125,-82.125,,,,
